Bidang_IT;Posisi_Pekerjaan;Nama_Perusahaan;Lokasi;Gaji;Syarat_Deskripsi_Pekerjaan;Link_Detail;Skill_Python;Skill_SQL;Skill_Javascript;Skill_PHP;Skill_Java_Kotlin;Skill_Excel;Skill_Cloud_AWS_GCP;Skill_Docker_K8s;Skill_Git;Skill_English;Skill_Agile_Scrum;Skill_Networking_Security;Gaji_Clean
Cyber Security;IT Infrastructure Specialist;Orang Tua Group;West Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92797341?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;SAFETY SUPERVISOR;PT SECM TECH INDONESIA;Karawang;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92790524?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;GA/IT Staff;PT JPC Indonesia;South Jakarta;Rp 5.000.000 – Rp 5.730.000 per month;BPJS Ketenagakerjaan & BPJS Kesehatan | Insentif berdasarkan kerajinan & kepatuhan | Tunjangan berdasarkan jam kerja dan kehadiran;https://id.jobstreet.com/job/92731557?type=standard&ref=search-standalone&origin=cardTitle;0;0;1;0;0;0;0;0;0;0;0;0;5365000.0
Cyber Security;SECURITY PROYEK;PT Pratama Solusi Armindo;West Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92583436?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Project Manager;PT Allo Bank Indonesia, Tbk;Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92796642?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;APU, PPT, & PPPSPM OFFICER;OTO Group;South Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92975988?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Compliance & Data Protection Officer;PT Bank Oke Indonesia, tbk;Central Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92607271?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Head of Technology;PT Sejahtera Sama Kita;Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92777146?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Network Engineer Officer;OTO Group;South Jakarta;Rp 7,000,000 – Rp 9,000,000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/92916996?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;SATPAM;PT Asuransi Ramayana Tbk;Central Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92633009?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Infrastructure Staff;PT Trimegah Bangun Persada;Central Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92828253?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;IT Support;PT Core Mediatech;East Jakarta;Rp 5.800.000 – Rp 5.900.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/92797667?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;5850000.0
Cyber Security;Security;PT Duta Nichirindo Pratama;Tangerang;Rp 5.000.000 – Rp 5.500.000 per month;Lihat detail pada link.;https://id.jobstreet.com/job/92701744?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;5250000.0
Cyber Security;Head of Technology & Development;PT MNC Teknologi Nusantara (MotionPay);Central Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92650482?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Security Officer;PT Indo-Rama Synthetics Tbk;Purwakarta;IDR Disembunyikan;keamanan | integritas | Patroli;https://id.jobstreet.com/job/92577741?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;L1 Security Analyst — Endpoint Protection & SIEM;PT IP Network Solusindo;Central Jakarta;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93133575?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Cyber Security Operation Analyst;PT GTech Digital Asia;Tangerang District;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92349913?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Technical Specialist (Postsales) - Cyber Security;PT META WANGSA SOLUSI;Kemayoran;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/93027043?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
Cyber Security;Product Owner | Cyber Security;Macquarie Group;Indonesia;IDR Disembunyikan;Lihat detail pada link.;https://id.jobstreet.com/job/92898019?type=standard&ref=search-standalone&origin=cardTitle;0;0;0;0;0;0;0;0;0;0;0;0;
